Date,Measure
2019-12-21,18
2019-12-22,17
2019-12-23,38
2019-12-24,66
2019-12-25,38
2019-12-26,62
2019-12-27,56
2019-12-28,23
2019-12-29,30
2019-12-30,49
2019-12-31,76
2020-01-01,50
2020-01-02,37
2020-01-03,67
2020-01-04,34
2020-01-05,68
2020-01-06,72
2020-01-07,60
2020-01-08,64
2020-01-09,100
2020-01-10,61
2020-01-11,55
2020-01-12,39
2020-01-13,64
2020-01-14,57
2020-01-15,62
2020-01-16,45
2020-01-17,46
2020-01-18,33
2020-01-19,38
2020-01-20,59
2020-01-21,69
2020-01-22,44
2020-01-23,35
2020-01-24,46
2020-01-25,23
2020-01-26,22
2020-01-27,68
2020-01-28,83
2020-01-29,73
2020-01-30,65
2020-01-31,86
2020-02-01,12
2020-02-02,18
2020-02-03,20
2020-02-04,27
2020-02-05,21
2020-02-06,32
2020-02-07,44
2020-02-08,6
2020-02-09,12
2020-02-10,58
2020-02-11,26
2020-02-12,16
2020-02-13,21
2020-02-14,33
2020-02-15,6
2020-02-16,6
2020-02-17,37
2020-02-18,36
2020-02-19,42
2020-02-20,73
2020-02-21,76
2020-02-22,35
2020-02-23,29
2020-02-24,100
2020-02-25,57
2020-02-26,40
2020-02-27,25
2020-02-28,42
2020-02-29,17
2020-03-01,0
2020-03-02,35
2020-03-03,55
2020-03-04,65
2020-03-05,57
2020-03-06,58
2020-03-07,35
2020-03-08,40
2020-03-09,92
2020-03-10,56
2020-03-11,65
2020-03-12,49
2020-03-13,62
2020-03-14,12
2020-03-15,52
2020-03-16,84
2020-03-17,54
2020-03-18,15
2020-03-19,70
2020-03-20,69
2020-03-21,39
2020-03-22,28
2020-03-23,46
2020-03-24,88
2020-03-25,35
2020-03-26,75
2020-03-27,29
2020-03-28,33
2020-03-29,32
2020-03-30,71
2020-03-31,43
2020-04-01,77
2020-04-02,43
2020-04-03,34
2020-04-04,22
2020-04-05,28
2020-04-06,48
2020-04-07,63
2020-04-08,54
2020-04-09,60
2020-04-10,52
2020-04-11,22
2020-04-12,34
2020-04-13,64
2020-04-14,63
2020-04-15,58
2020-04-16,14
2020-04-17,54
2020-04-18,22
2020-04-19,11
2020-04-20,81
2020-04-21,57
2020-04-22,24
2020-04-23,61
2020-04-24,30
2020-04-25,33
2020-04-26,27
2020-04-27,58
2020-04-28,57
2020-04-29,38
2020-04-30,31
2020-05-01,72
2020-05-02,22
2020-05-03,22
2020-05-04,90
2020-05-05,35
2020-05-06,52
2020-05-07,54
2020-05-08,65
2020-05-09,11
2020-05-10,22
2020-05-11,38
2020-05-12,19
2020-05-13,39
2020-05-14,53
2020-05-15,39
2020-05-16,22
2020-05-17,28
2020-05-18,49
2020-05-19,43
2020-05-20,54
2020-05-21,50
2020-05-22,30
2020-05-23,34
2020-05-24,17
2020-05-25,41
2020-05-26,39
2020-05-27,69
2020-05-28,69
2020-05-29,30
2020-05-30,22
2020-05-31,28
2020-06-01,54
2020-06-02,40
2020-06-03,70
2020-06-04,19
2020-06-05,66
2020-06-06,76
2020-06-07,23
2020-06-08,76
2020-06-09,56
2020-06-10,54
2020-06-11,55
2020-06-12,100
2020-06-13,16
2020-06-14,31
2020-06-15,68
2020-06-16,53
2020-06-17,68
2020-06-18,48
2020-06-19,63
2020-06-20,63
2020-06-21,8
2020-06-22,49
2020-06-23,62
2020-06-24,63
2020-06-25,42
2020-06-26,50
2020-06-27,47
2020-06-28,8
2020-06-29,35
2020-06-30,76
2020-07-01,56
2020-07-02,84
2020-07-03,66
2020-07-04,16
2020-07-05,24
2020-07-06,77
2020-07-07,63
2020-07-08,42
2020-07-09,85
2020-07-10,52
2020-07-11,41
2020-07-12,41
2020-07-13,50
2020-07-14,85
2020-07-15,50
2020-07-16,43
2020-07-17,45
2020-07-18,31
2020-07-19,40
2020-07-20,59
2020-07-21,75
